shape	dist	k_eff	kryl_iter	time
0.5	0.15	0.455762489054	7	1.12574612
0.5	0.2	0.455557083421	7	0.716406842
0.3	0.05	0.456269541129	6	13.045573816
0.8	0.05	0.455426185682	8	18.259826596
0.3	0.1	0.456109802055	6	2.578744601
0.6	0.05	0.455881829452	6	13.566487098
0.3	0.15	0.456161080787	7	1.300521626
0.8	0.1	0.455661723401	7	2.906545909
0.3	0.2	0.45617542252	7	0.612172988
0.6	0.1	0.455751550506	7	2.925066956
0.8	0.15	0.455449202776	8	1.367918769
0.8	0.2	0.455112039917	7	0.718194736
0.6	0.15	0.455600823647	7	1.39697857
0.6	0.2	0.455340881936	7	0.615484447
0.4	0.05	0.456159501549	6	14.122689618
0.9	0.05	0.455513894549	7	16.718109406
0.4	0.1	0.455975953362	6	2.799931809
0.4	0.15	0.455959708651	7	1.256344184
0.7	0.05	0.455676111907	8	18.713891788
0.9	0.1	0.455652124653	7	3.047030482
0.4	0.2	0.455847950992	7	0.686397849
0.9	0.15	4.10033246422	5	1.063964107
0.7	0.1	0.455692217918	7	3.050769948
0.9	0.2	0.455073233082	7	0.820516311
0.7	0.15	0.455491516626	7	1.59324738
0.7	0.2	0.45519686064	7	0.991637526
1.0	0.15	0.454954324671	8	1.937847235
1.0	0.2	0.455069637986	7	1.010393981
0.5	0.05	0.456021631138	6	20.791365298
0.5	0.1	0.455846722976	7	4.6797386
1.0	0.05	0.455581752127	7	24.774958107
1.0	0.1	0.455656939368	7	5.117581881
1.5	0.15	0.455449915572	8	2.249929859
1.1	0.05	0.455608509074	7	24.500810312
1.5	0.2	0.455345550893	8	1.225043247
1.1	0.1	0.455671464318	7	4.926171843
1.1	0.15	0.4551952704	8	2.186472567
1.1	0.2	0.455092877998	7	1.056705179
1.3	0.05	0.455630294666	7	24.678860671
1.3	0.1	0.455717557112	7	5.304054006
1.3	0.15	0.455326360472	8	2.378549821
1.3	0.2	0.455195598619	7	1.12554036
1.6	0.05	0.45565142185	7	24.419063687
1.6	0.1	0.455804890916	7	5.694350786
1.6	0.15	0.455515228979	8	2.423648688
1.2	0.05	0.455621606611	7	25.103028709
1.6	0.2	0.455430977433	8	1.268320623
1.2	0.1	0.455692416239	7	5.297652887
1.2	0.15	0.455266862716	8	2.274723031
1.2	0.2	0.455136520636	7	1.134416074
1.4	0.05	0.45563758572	7	24.354393654
1.4	0.1	0.455745343371	7	5.494129705
1.4	0.15	0.455386822407	8	2.526761312
1.4	0.2	0.455266255347	7	1.188290962
1.7	0.05	0.455658420949	7	25.208622087
1.7	0.1	0.455835369911	7	5.608469014
1.7	0.15	0.455581972475	8	2.29667674
1.8	0.05	0.455665518381	7	25.146811696
1.7	0.2	0.45552076152	8	1.19479295
2.0	0.15	0.455783863457	8	2.219415698
1.8	0.1	0.455865781259	7	5.01373997
2.0	0.2	0.455803024422	8	1.361698989
1.8	0.15	0.455649388151	8	2.436966185
1.8	0.2	0.455613390647	8	1.361895259
1.5	0.05	0.455644511042	7	25.088335721
1.5	0.1	0.455774704283	7	5.549825231
2.1	0.05	0.455687129288	7	26.000441943
1.9	0.05	0.455672690953	7	25.92674869
2.1	0.1	0.455954334528	7	5.486254444
2.1	0.15	0.455850065015	8	2.214645511
1.9	0.1	0.455895857776	7	5.138874888
2.3	0.05	0.455701485871	7	25.080274916
2.1	0.2	0.455898471591	8	1.212516127
1.9	0.15	0.45571684835	8	2.145709834
2.3	0.1	0.456009942602	7	5.06487824
1.9	0.2	0.455707771261	8	1.523238318
2.3	0.15	0.455979028175	8	2.008410379
2.3	0.2	0.45608799488	8	1.669282037
2.2	0.05	0.455694331391	7	25.407426441
2.0	0.05	0.455679905719	7	24.849940369
2.2	0.1	0.455982527094	7	5.283545208
2.2	0.15	0.455915183784	8	2.384979864
2.0	0.1	0.455925417157	7	5.298559935
2.4	0.05	0.455708570903	7	25.567566884
2.2	0.2	0.455993593506	8	1.366335419
2.5	0.15	0.456102418437	8	2.422672597
2.5	0.2	0.4562733819	9	1.48007552
2.4	0.1	0.456036551694	7	5.291544812
2.4	0.15	0.456041467842	8	2.273792173
2.4	0.2	0.456181269499	9	1.351075362
2.8	0.05	0.455735908051	7	25.817948752
2.6	0.05	0.45572246443	7	25.932580951
2.8	0.1	0.456134854648	7	5.344119702
2.8	0.15	0.456275945964	9	2.780728218
2.6	0.1	0.456087311017	7	5.399678376
2.5	0.05	0.45571556855	7	25.901099949
2.8	0.2	0.456540863699	9	1.453349635
2.6	0.15	0.456161831584	8	2.477051823
2.6	0.2	0.456364084733	9	1.552925305
2.5	0.1	0.45606234138	7	5.723313895
3.0	0.15	0.456383912991	9	2.577592862
3.0	0.2	0.456711252878	10	1.513656167
2.9	0.05	0.455742440453	7	20.139323854
2.7	0.05	0.455729247193	7	19.514307389
2.9	0.1	0.456157437623	7	3.136220871
2.9	0.15	0.456330690532	9	1.453631352
2.7	0.1	0.45611149277	7	2.81267802
2.9	0.2	0.45662689886	10	0.901514448
2.7	0.15	0.456219685805	8	1.255619388
2.7	0.2	0.456453268429	9	0.809888938
3.0	0.05	0.455748839654	7	13.56171939
3.0	0.1	0.456179263385	7	2.6764928
