shape	dist	ord	k_eff	kryl_iter	time
shape	dist	ord	k_eff	kryl_iter	time
2.6	0.1	2	0.48298615529	9	42.947113938
shape	dist	ord	k_eff	kryl_iter	time
shape	dist	ord	k_eff	kryl_iter	time
2.7	0.05	1	0.488683286977	7	22.53662925
2.9	0.05	2	0.481406035713	6	143.234578948
2.9	0.1	1	0.489812203116	10	6.378234687
2.9	0.1	2	0.482950426726	9	48.521550358
3.0	0.05	1	0.48864993294	7	23.928482662
0.4	0.1	3	0.484641114203	6	391.889386914
2.7	0.05	2	0.481426261648	6	158.604801962
2.7	0.1	1	0.489815989267	9	6.435276393
0.3	0.025	1	0.489025843884	6	103.747841082
2.7	0.1	2	0.482973893556	9	49.45857063
2.8	0.05	1	0.488671341668	7	23.383916277
3.0	0.05	2	0.481396911707	6	156.906503505
3.0	0.1	1	0.489809964608	10	6.040051275
3.0	0.1	2	0.48293907813	9	45.987950677
0.4	0.025	1	0.488870827093	6	89.49243711
shape	dist	ord	k_eff	kryl_iter	time
shape	dist	ord	k_eff	kryl_iter	time
0.9	0.025	1	0.48831086759	6	96.97292797
0.5	0.025	1	0.488667329591	6	99.218272962
0.5	0.1	3	0.484633401578	6	417.950950353
1.0	0.025	1	0.488270085824	6	100.155177066
0.6	0.025	1	0.488502143543	6	101.055954076
0.9	0.1	3	0.484275887273	7	477.379933387
1.1	0.025	1	0.488227624343	6	102.559210415
0.7	0.025	1	0.488407163682	6	101.190566713
0.6	0.1	3	0.484568755835	7	512.003074279
1.2	0.025	1	0.488184604826	6	115.023942714
0.8	0.025	1	0.488352457003	6	119.587991589
1.0	0.1	3	0.484188054607	7	519.819460963
1.3	0.025	1	0.48814267675	6	97.552786691
1.7	0.025	1	0.48800263496	6	98.655581738
1.4	0.025	1	0.488103047026	6	110.5390033
0.7	0.1	3	0.484474689128	7	513.50975843
1.8	0.025	1	0.48797539316	6	132.250324665
1.1	0.1	3	0.484110813388	7	542.778605511
1.5	0.025	1	0.488066375617	6	115.209293558
1.9	0.025	1	0.487950953048	6	111.83803758
0.8	0.1	3	0.484373089599	6	502.897912608
1.6	0.025	1	0.488032909387	6	137.531460531
2.0	0.025	1	0.487929048379	6	138.924986455
1.2	0.1	3	0.48404364884	7	575.255187287
2.1	0.025	1	0.487909452046	6	139.467822362
2.5	0.025	1	0.487849292973	6	137.39292495
1.3	0.1	3	0.483985394799	7	582.715964073
2.2	0.025	1	0.487891886151	6	140.399054763
2.6	0.025	1	0.487837854251	6	138.502276976
1.7	0.1	3	0.483816961153	8	660.128289128
2.3	0.025	1	0.487876136776	6	141.188794686
2.7	0.025	1	0.487827541068	6	142.174949419
1.4	0.1	3	0.48393474655	7	593.266136356
2.4	0.025	1	0.487861999762	6	137.014504336
2.8	0.025	1	0.487818219547	6	138.832139285
1.8	0.1	3	0.48378604863	8	643.055329373
2.9	0.025	1	0.487809805031	6	106.161427845
1.5	0.1	3	0.483890478629	7	481.665313989
3.0	0.025	1	0.487802173581	6	93.440357285
shape	dist	ord	k_eff	kryl_iter	time
0.5	0.2	1	0.494446214525	7	0.930171495
0.1	0.2	1	failed to execute
0.5	0.2	2	0.487312269879	7	8.614664212
0.1	0.2	2	failed to execute
1.9	0.1	3	0.483758159754	8	476.826812517
shape	dist	ord	k_eff	kryl_iter	time
0.2	0.2	1	0.480865072959	8	1.151799972
0.2	0.2	2	0.477016201193	8	11.763383331
0.5	0.2	3	0.487724127292	7	115.211477075
0.6	0.2	1	0.495151059858	7	0.98507633
0.6	0.2	2	0.487917448607	7	9.311533856
1.6	0.1	3	0.483851518613	7	423.177224229
0.2	0.2	3	0.476606855852	8	140.77178628
0.3	0.2	1	0.491055563649	7	1.142330751
0.3	0.2	2	0.484565466992	7	9.89022264
0.6	0.2	3	0.488359535147	7	113.125603486
0.7	0.2	1	0.495733033202	7	1.069567273
0.7	0.2	2	0.488413993158	7	9.151312954
shape	dist	ord	k_eff	kryl_iter	time
0.3	0.2	3	0.484801966743	7	126.557150933
0.6	0.2	1	0.495151059858	7	1.492708367
0.2	0.2	1	0.480865072959	8	1.972966253
0.4	0.2	1	0.493420896799	7	1.455653657
0.4	0.2	2	0.486447985568	7	9.473233925
0.7	0.2	3	0.488883042666	7	118.44870843
0.8	0.2	1	0.496256300432	7	1.061886037
0.8	0.2	2	0.488855848034	7	9.440209552
0.4	0.2	3	0.486811425323	7	119.36919765
0.5	0.2	1	0.494446214525	7	1.055697723
0.5	0.2	2	0.487312269879	7	9.510801908
2.0	0.1	3	0.483732782175	8	502.668890157
0.9	0.2	2	0.489275917298	7	9.94447116
0.8	0.2	3	0.489351922134	7	117.582245461
0.9	0.2	1	0.496756246797	8	1.154182684
1.3	0.2	1	0.498847106542	9	1.272702573
1.3	0.2	2	0.491059167603	8	10.382477664
0.9	0.2	3	0.4897989397	7	115.969984505
1.0	0.2	1	0.497255241472	8	1.181998605
1.0	0.2	2	0.489696056169	8	10.583643263
1.3	0.2	3	0.491676223798	8	133.381405143
2.1	0.1	3	0.483709480461	8	513.11664429
1.4	0.2	1	0.49941875658	9	1.433084691
1.4	0.2	2	0.491558016048	8	11.424824961
1.0	0.2	3	0.490245119199	8	136.690708291
1.1	0.2	1	0.497766401684	8	1.183835374
1.1	0.2	2	0.490129470832	8	11.121052853
1.4	0.2	3	0.492194182765	8	134.831360265
1.5	0.2	1	0.500009733902	9	1.320086946
1.5	0.2	2	0.492078113109	9	11.907737376
1.1	0.2	3	0.490703032864	8	133.645474184
1.2	0.2	1	0.498296261589	8	1.143676451
1.2	0.2	2	0.490582985455	8	10.570101395
1.5	0.2	3	0.492731883663	9	151.286764515
1.6	0.2	1	0.500618006796	9	1.257474239
1.6	0.2	2	0.492617399365	9	12.067281355
2.5	0.1	3	0.483631042648	9	576.066648888
1.2	0.2	3	0.491179218332	8	132.6080646
2.0	0.2	2	0.494921634217	10	13.359707923
1.6	0.2	3	0.493287489442	9	150.503485402
1.7	0.2	1	0.501241405072	9	1.309298775
1.7	0.2	2	0.493173578478	9	11.933191132
2.2	0.1	3	0.483687928441	8	521.046738017
2.0	0.2	3	0.49564811394	10	163.364113915
2.1	0.2	1	0.503847440589	10	1.373637442
2.1	0.2	2	0.49552447786	10	13.245219747
1.7	0.2	3	0.493858918515	9	148.929776413
1.8	0.2	1	0.501877840384	9	1.384754244
1.8	0.2	2	0.493744384949	9	11.577677598
2.1	0.2	3	0.496263617568	10	160.454913084
2.2	0.2	1	0.504519209343	10	1.489336581
2.2	0.2	2	0.4961347544	10	12.866113036
1.8	0.2	3	0.494444098056	9	153.282774588
1.9	0.2	1	0.502525401161	10	1.554512756
1.9	0.2	2	0.494327705476	10	12.831228088
2.2	0.2	3	0.49688621765	10	166.101525006
2.3	0.2	1	0.50519664558	11	1.520055888
2.3	0.2	2	0.496751161598	10	13.484536518
2.6	0.1	3	0.483613995335	9	578.147955834
1.9	0.2	3	0.495041084171	10	161.06206478
2.0	0.2	1	0.503182422146	10	1.419516394
2.4	0.2	1	0.505878849271	11	1.556548822
2.4	0.2	2	0.49737256047	11	14.312616636
2.3	0.1	3	0.483667825414	8	520.073390807
2.3	0.2	3	0.49751470093	10	163.719237068
2.4	0.2	3	0.498148003758	11	177.672608262
2.5	0.2	1	0.506565010064	11	1.539347049
2.5	0.2	2	0.497997927762	11	14.43658514
2.7	0.2	3	0.500067732816	11	180.432931299
2.8	0.2	1	0.50864053341	12	1.719364103
2.8	0.2	2	0.499889021258	12	15.853065136
2.5	0.2	3	0.498785169848	11	180.245366571
2.6	0.2	1	0.507254426058	11	1.573046898
2.6	0.2	2	0.498626350596	11	15.065269632
2.8	0.2	3	0.500711574409	12	196.941654108
2.9	0.2	1	0.509336092962	12	1.734238158
2.7	0.1	3	0.483597646857	9	571.574940895
2.9	0.2	2	0.500521708923	12	15.945081247
2.4	0.1	3	0.483648930725	8	517.535913545
2.6	0.2	3	0.49942534351	11	181.145349151
2.7	0.2	1	0.507946460132	12	1.758719379
2.7	0.2	2	0.499256987795	11	14.606473636
2.9	0.2	3	0.501356173689	12	188.931439538
3.0	0.2	1	0.510032572344	12	1.601268953
3.0	0.2	2	0.501154280906	12	14.586086379
3.0	0.2	3	0.502000791067	12	176.424262736
2.8	0.1	3	0.483581878585	9	516.035487809
2.9	0.1	3	0.483566590179	9	508.13559981
3.0	0.1	3	0.48355169636	9	497.476209945
